PassengerId,Survived_pred,Probability
892,0,0.13491222359771704
893,0,0.3141063430525458
894,0,0.10712633486496675
895,0,0.11240732154486763
896,0,0.467947054884511
897,0,0.11240732154486763
898,1,0.7434941869233961
899,0,0.11523226237307288
900,1,0.7717775498205133
901,0,0.11030422348627329
902,0,0.11240732154486763
903,0,0.09107286279937378
904,1,0.9289050637006669
905,0,0.09107286279937378
906,1,0.9095177464527785
907,1,0.9190846017110847
908,0,0.13821467073642008
909,0,0.1496980420524334
910,0,0.4609804238157685
911,1,0.6658990204131864
912,0,0.19551973128134426
913,0,0.3615768110973131
914,1,0.906370370035689
915,0,0.24006822904125447
916,1,0.9453970401922441
917,0,0.09107286279937378
918,1,0.9514200250030598
919,0,0.1496980420524334
920,0,0.21211488530364261
921,0,0.14701280875528316
922,0,0.09107286279937378
923,0,0.11030422348627329
924,0,0.48403535893180033
925,0,0.2479010724996898
926,1,0.5499684096111583
927,0,0.1496980420524334
928,0,0.4609804238157685
929,0,0.4609804238157685
930,0,0.11240732154486763
931,0,0.3580371042200296
932,0,0.15329828689110134
933,0,0.21211488530364261
934,0,0.11240732154486763
935,1,0.9007506909289744
936,1,0.9598595098575282
937,0,0.11240732154486763
938,0,0.35821698003881447
939,0,0.13491222359771704
940,1,0.9377610736462142
941,0,0.48403535893180033
942,0,0.26885339435537614
943,0,0.15329828689110134
944,1,0.9021053285331648
945,1,0.9050710210333093
946,0,0.15329828689110134
947,0,0.12063624121489087
948,0,0.11240732154486763
949,0,0.13314751099215733
950,0,0.11523226237307288
951,1,0.9514200250030598
952,0,0.11240732154486763
953,0,0.11523226237307288
954,0,0.11240732154486763
955,1,0.7434941869233961
956,1,0.5242414049659282
957,1,0.906370370035689
958,1,0.6334451022869454
959,0,0.08329330362734425
960,0,0.35821698003881447
961,1,0.8108661705255429
962,1,0.6334451022869454
963,0,0.11240732154486763
964,0,0.4609804238157685
965,0,0.35821698003881447
966,1,0.9514200250030598
967,0,0.49338688322697655
968,0,0.11240732154486763
969,1,0.8884177225716657
970,0,0.11523226237307288
971,1,0.6334451022869454
972,1,0.9329347735462925
973,0,0.22051333349759863
974,0,0.09107286279937378
975,0,0.11240732154486763
976,0,0.13821467073642008
977,0,0.15329828689110134
978,1,0.6334451022869454
979,0,0.4609804238157685
